                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.0066,                0.55389,                0.94117,                0.85606,                0.75106,                0.80963,                0.39019,                 1.8865,                 1.0115,                 1.3527,               0.005545,               0.005545,               0.005545
                     47,                 1.0142,                0.56345,                0.94507,                0.89763,                0.71151,                0.79369,                0.37749,                 1.8836,                0.98018,                 1.3537,               0.005446,               0.005446,               0.005446
                     48,                0.98379,                0.54449,                0.93826,                0.88987,                 0.7761,                0.83599,                 0.4024,                 1.8066,                0.90019,                 1.2976,               0.005347,               0.005347,               0.005347
                     49,                0.97495,                0.54393,                0.92431,                0.85304,                0.81543,                0.84912,                0.40832,                 1.8003,                0.90966,                 1.3012,               0.005248,               0.005248,               0.005248
                     50,                0.96425,                0.51594,                0.92798,                0.84748,                0.76091,                0.81403,                0.39469,                 1.8623,                0.96446,                  1.344,               0.005149,               0.005149,               0.005149
                     51,                0.98366,                0.52808,                 0.9247,                0.88943,                0.76538,                0.81949,                0.36451,                 1.9507,                0.96106,                 1.3982,                0.00505,                0.00505,                0.00505
                     52,                0.97617,                0.53214,                0.91947,                0.87637,                 0.7691,                0.83941,                0.41749,                 1.7615,                 0.9373,                 1.2985,               0.004951,               0.004951,               0.004951
                     53,                0.95251,                0.52323,                0.91994,                0.90757,                0.72818,                0.81661,                0.39069,                 1.8451,                0.93873,                 1.3336,               0.004852,               0.004852,               0.004852
                     54,                0.96829,                0.52367,                0.92306,                0.83879,                0.78278,                0.82853,                0.39637,                 1.8175,                0.94353,                 1.3242,               0.004753,               0.004753,               0.004753
                     55,                0.92007,                0.50514,                0.91793,                0.84462,                0.78456,                 0.8335,                0.40894,                 1.7701,                 0.9457,                 1.3001,               0.004654,               0.004654,               0.004654
                     56,                0.95111,                0.51962,                0.92303,                0.86233,                0.77585,                0.83749,                0.41413,                 1.7686,                0.92581,                 1.3113,               0.004555,               0.004555,               0.004555
                     57,                0.95794,                0.52875,                0.92623,                0.89104,                0.76939,                0.84407,                0.41641,                 1.7772,                 0.9104,                 1.3041,               0.004456,               0.004456,               0.004456
                     58,                0.93661,                0.51153,                0.91498,                 0.8191,                0.78582,                0.81191,                0.38979,                 1.8753,                0.93466,                 1.3543,               0.004357,               0.004357,               0.004357
                     59,                0.92813,                0.51382,                0.92118,                0.93409,                0.73736,                0.82157,                0.40423,                 1.8292,                0.97976,                 1.3279,               0.004258,               0.004258,               0.004258
                     60,                0.92754,                0.50176,                0.91695,                0.87398,                0.76324,                0.82048,                0.41769,                 1.7893,                0.95271,                 1.3136,               0.004159,               0.004159,               0.004159
                     61,                0.92357,                0.51422,                0.92109,                0.90286,                0.74178,                0.82472,                0.40214,                 1.8402,                0.98539,                 1.3347,                0.00406,                0.00406,                0.00406
                     62,                0.91695,                0.50586,                0.91437,                0.87762,                0.76341,                0.82694,                0.41247,                  1.834,                0.97162,                 1.3487,               0.003961,               0.003961,               0.003961
                     63,                0.92498,                0.50041,                0.91139,                0.93575,                0.71383,                0.83598,                0.41878,                  1.783,                0.94301,                 1.3095,               0.003862,               0.003862,               0.003862
                     64,                0.90511,                0.49873,                0.90455,                0.88144,                0.77137,                0.83991,                0.41798,                 1.7777,                0.91908,                 1.3083,               0.003763,               0.003763,               0.003763
                     65,                0.87171,                0.47529,                0.90637,                0.89587,                 0.7579,                0.81836,                0.39266,                 1.8434,                0.93266,                 1.3375,               0.003664,               0.003664,               0.003664
                     66,                0.89746,                0.50393,                0.90753,                0.88151,                0.75598,                0.81447,                0.39695,                 1.8312,                0.96446,                 1.3393,               0.003565,               0.003565,               0.003565
                     67,                0.88077,                0.47808,                0.90586,                0.89741,                0.76005,                0.82954,                0.40905,                 1.7883,                0.94818,                 1.3222,               0.003466,               0.003466,               0.003466
                     68,                0.88618,                0.48274,                0.90196,                0.86444,                 0.7836,                0.83775,                0.41203,                 1.7914,                0.93615,                 1.3062,               0.003367,               0.003367,               0.003367
                     69,                0.89185,                0.49606,                0.89912,                0.91722,                0.70465,                0.81512,                0.39913,                 1.8529,                0.96371,                  1.343,               0.003268,               0.003268,               0.003268
                     70,                0.85484,                0.47955,                0.89297,                0.86052,                0.76508,                0.83513,                0.42285,                 1.7642,                0.92104,                 1.3059,               0.003169,               0.003169,               0.003169
                     71,                0.85734,                0.48785,                0.89449,                0.86675,                 0.7516,                0.82828,                0.40705,                 1.8204,                 0.9508,                 1.3318,                0.00307,                0.00307,                0.00307
                     72,                0.85315,                0.47247,                0.89379,                0.89006,                0.76744,                0.84757,                0.41715,                 1.8101,                0.90095,                 1.3184,               0.002971,               0.002971,               0.002971
                     73,                0.85021,                0.46787,                0.89358,                0.90535,                0.74887,                 0.8395,                0.41331,                 1.7976,                0.89391,                 1.3297,               0.002872,               0.002872,               0.002872
                     74,                 0.8477,                0.47264,                0.89968,                0.90638,                0.76259,                0.84266,                0.40579,                 1.8369,                0.91466,                 1.3596,               0.002773,               0.002773,               0.002773
                     75,                 0.8372,                0.46296,                0.87988,                0.86729,                0.81179,                0.85584,                0.41624,                 1.8178,                0.87925,                 1.3453,               0.002674,               0.002674,               0.002674
                     76,                 0.8179,                0.45904,                0.89134,                0.89756,                0.78049,                0.85317,                0.42649,                 1.7741,                0.89629,                 1.3205,               0.002575,               0.002575,               0.002575
                     77,                0.82536,                0.45424,                0.88181,                0.91608,                0.74089,                0.83363,                 0.4121,                 1.7994,                0.90063,                 1.3419,               0.002476,               0.002476,               0.002476
                     78,                0.84098,                0.45803,                0.88469,                0.90315,                0.76235,                0.84272,                0.41544,                  1.801,                0.89036,                 1.3464,               0.002377,               0.002377,               0.002377
                     79,                 0.8089,                0.45291,                0.87764,                0.89069,                0.76555,                0.82969,                0.41266,                 1.8187,                0.91749,                 1.3657,               0.002278,               0.002278,               0.002278
                     80,                0.78623,                0.43429,                0.87118,                0.86974,                0.76138,                0.82762,                0.41547,                 1.8134,                0.93036,                 1.3587,               0.002179,               0.002179,               0.002179
                     81,                0.80624,                 0.4441,                0.88444,                0.89936,                0.74759,                0.83379,                0.41798,                 1.8181,                0.92314,                 1.3624,                0.00208,                0.00208,                0.00208
                     82,                0.80778,                0.44741,                0.88367,                0.88317,                0.76239,                0.83476,                0.41751,                 1.8144,                0.90823,                 1.3559,               0.001981,               0.001981,               0.001981
                     83,                0.80807,                0.45495,                0.88247,                0.91309,                0.74261,                0.83437,                 0.4268,                 1.7733,                0.86784,                 1.3279,               0.001882,               0.001882,               0.001882
                     84,                0.78187,                0.43777,                0.87445,                0.90883,                0.73867,                0.83043,                0.42592,                 1.7719,                0.91038,                 1.3319,               0.001783,               0.001783,               0.001783
                     85,                0.78546,                0.43111,                0.87571,                0.91664,                0.74045,                0.83524,                0.42879,                 1.7696,                0.90854,                 1.3411,               0.001684,               0.001684,               0.001684
                     86,                0.77173,                0.42792,                0.87777,                0.87801,                0.77788,                0.83377,                 0.4227,                 1.7809,                0.89646,                 1.3405,               0.001585,               0.001585,               0.001585
                     87,                0.75923,                0.42479,                0.86553,                0.90704,                0.75387,                0.84236,                0.42844,                 1.7559,                0.91169,                 1.3304,               0.001486,               0.001486,               0.001486
                     88,                0.76934,                0.43359,                0.86723,                0.87095,                0.76068,                0.83202,                0.42336,                 1.8015,                0.89723,                 1.3557,               0.001387,               0.001387,               0.001387
                     89,                0.76464,                0.42845,                0.86271,                0.92404,                0.72105,                0.83188,                0.43395,                 1.7816,                0.90099,                 1.3514,               0.001288,               0.001288,               0.001288
                     90,                0.75617,                0.38593,                0.88345,                0.88234,                0.77123,                0.84069,                0.41754,                 1.8049,                0.88619,                 1.3657,               0.001189,               0.001189,               0.001189
                     91,                0.70068,                0.37308,                0.86627,                0.88247,                0.77198,                0.83308,                0.41628,                 1.7864,                0.88706,                 1.3615,                0.00109,                0.00109,                0.00109
                     92,                 0.7024,                0.37438,                0.87287,                0.89262,                0.75346,                0.83943,                0.41272,                  1.801,                0.89027,                 1.3643,               0.000991,               0.000991,               0.000991
                     93,                0.69822,                0.37468,                0.86156,                0.89698,                0.73241,                0.82679,                0.42237,                 1.7766,                0.90242,                 1.3485,               0.000892,               0.000892,               0.000892
                     94,                0.68345,                0.36278,                0.85566,                0.86988,                 0.7676,                0.84004,                0.42519,                 1.7835,                0.89614,                  1.355,               0.000793,               0.000793,               0.000793
                     95,                 0.6844,                0.37329,                0.85601,                0.90779,                0.74866,                0.83793,                0.42166,                 1.8026,                0.91081,                 1.3686,               0.000694,               0.000694,               0.000694
                     96,                0.66897,                0.35832,                0.86262,                0.91877,                0.73803,                 0.8407,                0.42261,                 1.7977,                0.90339,                 1.3696,               0.000595,               0.000595,               0.000595
                     97,                0.69731,                0.36556,                0.86597,                0.92546,                 0.7448,                0.84277,                0.42198,                  1.805,                 0.9132,                 1.3695,               0.000496,               0.000496,               0.000496
                     98,                0.65685,                0.35808,                0.85298,                0.92189,                0.73879,                0.83702,                0.41822,                 1.8019,                0.90054,                 1.3705,               0.000397,               0.000397,               0.000397
                     99,                 0.6425,                0.35096,                0.84602,                0.91376,                0.74407,                0.84249,                0.42137,                 1.7912,                0.89417,                 1.3677,               0.000298,               0.000298,               0.000298
