                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.0112,                0.56371,                0.93815,                0.86784,                0.78376,                0.82954,                0.41746,                 1.7848,                 0.8952,                 1.2819,               0.001783,               0.001783,               0.001783
                     85,                 1.0072,                0.55143,                0.93686,                0.92846,                0.71943,                0.82238,                0.41304,                 1.7975,                0.91549,                 1.3019,               0.001684,               0.001684,               0.001684
                     86,                0.98908,                0.54107,                0.93222,                0.88678,                0.75525,                0.83192,                0.41474,                 1.8061,                 0.9013,                 1.2958,               0.001585,               0.001585,               0.001585
                     87,                0.96953,                0.53601,                0.92215,                0.87059,                0.76719,                0.83101,                 0.4126,                 1.8055,                0.90976,                 1.3084,               0.001486,               0.001486,               0.001486
                     88,                0.98521,                0.53964,                0.92739,                0.85622,                0.77384,                0.83017,                0.40128,                 1.8359,                 0.9035,                 1.3198,               0.001387,               0.001387,               0.001387
                     89,                0.97375,                0.53213,                0.91681,                0.90103,                0.76128,                0.83772,                0.41266,                  1.804,                0.91052,                 1.3051,               0.001288,               0.001288,               0.001288
                     90,                0.97097,                0.49309,                0.95823,                0.87003,                0.76855,                0.83227,                 0.4138,                 1.8182,                0.89844,                 1.3088,               0.001189,               0.001189,               0.001189
                     91,                  0.933,                0.48147,                0.93877,                    0.9,                0.75205,                0.83398,                0.41494,                 1.8274,                0.88707,                 1.3119,                0.00109,                0.00109,                0.00109
                     92,                0.93046,                0.47919,                0.94114,                0.83474,                0.78142,                0.83241,                0.41848,                 1.7996,                0.89806,                 1.3039,               0.000991,               0.000991,               0.000991
                     93,                0.90729,                0.47021,                 0.9245,                0.85663,                0.77304,                0.82696,                0.41964,                   1.78,                0.89138,                 1.3025,               0.000892,               0.000892,               0.000892
                     94,                0.89951,                0.46794,                0.91846,                0.88321,                 0.7753,                0.83157,                0.41913,                 1.7982,                0.87594,                 1.3057,               0.000793,               0.000793,               0.000793
                     95,                0.89573,                0.47261,                0.91739,                0.89085,                0.77091,                0.83615,                0.41848,                 1.8074,                0.86958,                 1.3084,               0.000694,               0.000694,               0.000694
                     96,                 0.8799,                0.45227,                0.92398,                0.88452,                0.76819,                0.83149,                0.42028,                 1.8127,                0.88344,                 1.3161,               0.000595,               0.000595,               0.000595
                     97,                0.87894,                0.45374,                0.91938,                0.87552,                0.77804,                0.83783,                0.42211,                 1.8141,                 0.8869,                 1.3159,               0.000496,               0.000496,               0.000496
                     98,                0.84931,                0.44803,                0.90995,                0.88259,                0.77944,                0.83412,                0.41465,                 1.8192,                0.88367,                 1.3203,               0.000397,               0.000397,               0.000397
                     99,                 0.8464,                0.44189,                0.90341,                0.88221,                0.77878,                0.83212,                0.42077,                 1.8073,                0.88089,                  1.318,               0.000298,               0.000298,               0.000298
